slug,Posting Title,title,Job Description,description,datePosted,validThrough,City,StateProvince,Country,Remote,jobLocationType,applicantLocationRequirements,baseSalary,baseSalaryCurrency,Job Type,employmentType,contractType,Industry,Language,Positions,Priority Level,Fee
international-recruiter-with-english,International Recruiter with English,International Recruiter with English,"Have you ever thought of working as a freelance recruiter?

Either because you want to be schedule-free and work at your own pace or because you want to add an extra income to your current salary?

At Smart-Recruitments, we partner with freelance recruiters from all kinds of areas of expertise to deliver a more effective response to our clients’ needs.

How does it work?
We constantly receive different kinds of requirements from our clients. We ensure to gather all details from the hiring managers and pass them on to our partner recruiters. You will help us find these candidates using whatever method you deem most suitable, screen them via phone or Skype, and then send us their CVs. We will introduce them to our clients. In case of a successful placement, you will receive a commission. There is no fixed commission fee as each placement has a different amount charged to each client. You will receive a percentage of the charged fee.

Location free?
Absolutely. You can be based anywhere in the world. We will have a weekly review call to check the status of the vacancies you are working on, and that’s the only scheduled meeting from our side each week.

Working hours?
Like any other project, the more effort you invest, the more profit you’ll make. If you decide to work with us 8 hours per day, you will make more placements than someone working 2 hours per day. This is entirely up to you, and we welcome all kinds of collaboration.

KPIs or targets?
This is a win-win situation for both of us. The more you bill, the more we bill, so we expect commitment from you, and you can expect the same from us. We anticipate receiving applications from you regularly. Some roles are easier to fill than others, and we are aware of that. The number of expected CVs will vary based on the level of the vacancy. This is how we gauge motivation and distinguish top performers from others.

Are you new to recruitment?
We are more than happy to hear from you. Recruitment is not rocket science, and we will guide you through your first steps to ensure your success. We will teach you about sourcing methods, how to approach passive candidates, and how to evaluate whether they are a good fit for the job. Being new to the industry might even be an advantage as you will likely think outside the box and find candidates where experienced recruiters don’t. We are always just a phone or Skype call away for support.

What to expect from us?
We handle the client communication. All communications with the client will be managed by us. We will chase for feedback on your candidates, push for interviews, and keep you informed throughout the process. We can also create an email account for you with our company name (name@smart-recruitments.com). We are always available on Skype or phone for any questions you might have and will assist you in any way possible. Remember, we share a common goal.

What do we expect from you?
Commitment and consistency. Don’t expect to send one CV and land a placement immediately. It can happen, but it’s rare. The only way to ensure ongoing revenue is to consistently find the best candidates for each role. You will also need to be available for any queries during the client’s business hours and respond promptly when something urgent is required.

How to apply for the freelance recruitment role with us?
Send us an email to info@smart-recruitments.com expressing your interest in working with us, and one of our consultants will call you to book a Skype call where all your questions can be answered.","Have you ever thought of working as a freelance recruiter?<br><br>Either because you want to be schedule-free and work at your own pace or because you want to add an extra income to your current salary?<br><br>At Smart-Recruitments, we partner with freelance recruiters from all kinds of areas of expertise to deliver a more effective response to our clients’ needs.<br><br>How does it work?<br>We constantly receive different kinds of requirements from our clients. We ensure to gather all details from the hiring managers and pass them on to our partner recruiters. You will help us find these candidates using whatever method you deem most suitable, screen them via phone or Skype, and then send us their CVs. We will introduce them to our clients. In case of a successful placement, you will receive a commission. There is no fixed commission fee as each placement has a different amount charged to each client. You will receive a percentage of the charged fee.<br><br>Location free?<br>Absolutely. You can be based anywhere in the world. We will have a weekly review call to check the status of the vacancies you are working on, and that’s the only scheduled meeting from our side each week.<br><br>Working hours?<br>Like any other project, the more effort you invest, the more profit you’ll make. If you decide to work with us 8 hours per day, you will make more placements than someone working 2 hours per day. This is entirely up to you, and we welcome all kinds of collaboration.<br><br>KPIs or targets?<br>This is a win-win situation for both of us. The more you bill, the more we bill, so we expect commitment from you, and you can expect the same from us. We anticipate receiving applications from you regularly. Some roles are easier to fill than others, and we are aware of that. The number of expected CVs will vary based on the level of the vacancy. This is how we gauge motivation and distinguish top performers from others.<br><br>Are you new to recruitment?<br>We are more than happy to hear from you. Recruitment is not rocket science, and we will guide you through your first steps to ensure your success. We will teach you about sourcing methods, how to approach passive candidates, and how to evaluate whether they are a good fit for the job. Being new to the industry might even be an advantage as you will likely think outside the box and find candidates where experienced recruiters don’t. We are always just a phone or Skype call away for support.<br><br>What to expect from us?<br>We handle the client communication. All communications with the client will be managed by us. We will chase for feedback on your candidates, push for interviews, and keep you informed throughout the process. We can also create an email account for you with our company name (name@smart-recruitments.com). We are always available on Skype or phone for any questions you might have and will assist you in any way possible. Remember, we share a common goal.<br><br>What do we expect from you?<br>Commitment and consistency. Don’t expect to send one CV and land a placement immediately. It can happen, but it’s rare. The only way to ensure ongoing revenue is to consistently find the best candidates for each role. You will also need to be available for any queries during the client’s business hours and respond promptly when something urgent is required.<br><br>How to apply for the freelance recruitment role with us?<br>Send us an email to info@smart-recruitments.com expressing your interest in working with us, and one of our consultants will call you to book a Skype call where all your questions can be answered.",2024-09-16,2024-09-23,,,European Union,Yes,TELECOMMUTE,European Union,0 - 10000,EUR,Freelance,OTHER,,Human Resources,English,International Recruiter,1,
customer-support-with-german-in-greece,Customer Support with German in Greece,Customer Support with German,"Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in German
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in German<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Athens,Athens,Greece,Yes,TELECOMMUTE,Greece,1029 - 1430,EUR,Full-time,FULL_TIME,,Customer Service,German,Customer Support,1,
nursing-with-french-in-portugal,Nursing with French in Portugal,Nursing with French,"Families Are Also Welcome!
We are recruiting Nurses to work in Belgium, with or without experience, for hospitals, home care, or nursing homes.

Key Benefits:
- High Salary
- Long-Term Contract
- Free Preparation
- Assistance with Relocation
- Salary Increase Based on Inflation
- Medical and Dental Coverage
- Nearly Free Education for Children
- Economic and Political Stability
- Multicultural Environment and Welcoming People

Main Responsibilities:
- Perform patient assessments and develop care plans.
- Administer medications and treatments as prescribed.
- Monitor vital signs and overall health conditions of patients.
- Collaborate with healthcare teams to ensure comprehensive care.
- Educate patients and families on health plans and disease management.
- Participate in infection control measures.
- Assist in surgical procedures and post-operative care.

Requirements:
- European Nursing Diploma or professional experience in the field.
- Proficiency in medical terminology and documentation.
- Ability to work under pressure and think critically.
- Willingness to work flexible hours, including nights and weekends.
- No prior experience required.

What We Offer:
- Free Language Courses: Small study groups and online classes.
- Support in Administrative Procedures: Diploma equivalence, practice authorizations, insurance, and social contributions.
- Various Job Offers: Tailored to your preferences, with guaranteed post-relocation support.
- Accommodation Support: Help in finding housing, information on the best local schools, and transportation.

Apply now and take the next step in your nursing career in Belgium!""","Families Are Also Welcome!<br>We are recruiting Nurses to work in Belgium, with or without experience, for hospitals, home care, or nursing homes.<br><br>Key Benefits:<br>- High Salary<br>- Long-Term Contract<br>- Free Preparation<br>- Assistance with Relocation<br>- Salary Increase Based on Inflation<br>- Medical and Dental Coverage<br>- Nearly Free Education for Children<br>- Economic and Political Stability<br>- Multicultural Environment and Welcoming People<br><br>Main Responsibilities:<br>- Perform patient assessments and develop care plans.<br>- Administer medications and treatments as prescribed.<br>- Monitor vital signs and overall health conditions of patients.<br>- Collaborate with healthcare teams to ensure comprehensive care.<br>- Educate patients and families on health plans and disease management.<br>- Participate in infection control measures.<br>- Assist in surgical procedures and post-operative care.<br><br>Requirements:<br>- European Nursing Diploma or professional experience in the field.<br>- Proficiency in medical terminology and documentation.<br>- Ability to work under pressure and think critically.<br>- Willingness to work flexible hours, including nights and weekends.<br>- No prior experience required.<br><br>What We Offer:<br>- Free Language Courses: Small study groups and online classes.<br>- Support in Administrative Procedures: Diploma equivalence, practice authorizations, insurance, and social contributions.<br>- Various Job Offers: Tailored to your preferences, with guaranteed post-relocation support.<br>- Accommodation Support: Help in finding housing, information on the best local schools, and transportation.<br><br>Apply now and take the next step in your nursing career in Belgium!""",2024-09-16,2024-09-23,,,Portugal,No,,,2640 - 4620,EUR,Full-time,FULL_TIME,Permanent,Healthcare,French,Nursing,1,
customer-support-with-dutch-in-greece,Customer Support with Dutch in Greece,Customer Support with Dutch,"Are you fluent in Dutch and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in Dutch
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in Dutch and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in Dutch<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Athens,Athens,Greece,No,,,1200 - 1500,EUR,Full-time,FULL_TIME,,Customer Service,Dutch,Customer Support,1,
sales-with-german-in-greece,Sales with German in Greece,Sales with German,"Are you fluent in German and have strong communication skills? We have exciting job opportunities in Sales! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in German
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in German and have strong communication skills? We have exciting job opportunities in Sales! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in German<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Greece, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Athens,Athens,Greece,No,,,1029 - 1430,EUR,Full-time,FULL_TIME,,Customer Service,German,Sales,1,
customer-support-with-dutch-in-portugal,Customer Support with Dutch in Portugal,Customer Support with Dutch,"Are you fluent in Dutch and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in Dutch
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in Dutch and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in Dutch<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Lisbon,Lisbon,Portugal,No,,,1298 - 2033,EUR,Full-time,FULL_TIME,,Customer Service,Dutch,Customer Support,1,
customer-support-with-german-in-portugal,Customer Support with German in Portugal,Customer Support with German,"Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in German
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in German<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Lisbon,Lisbon,Portugal,No,,,1448 - 1820,EUR,Full-time,FULL_TIME,,Customer Service,German,Customer Support,1,
customer-support-with-turkish-in-portugal,Customer Support with Turkish in Portugal,Customer Support with Turkish,"Are you fluent in Turkish and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in Turkish
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in Turkish and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in Turkish<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Lisbon,Lisbon,Portugal,No,,,1411,EUR,Full-time,FULL_TIME,,Customer Service,Turkish,Customer Support,1,
customer-support-with-hebrew-in-portugal,Customer Support with Hebrew in Portugal,Customer Support with Hebrew,"Are you fluent in Hebrew and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in Hebrew
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in Hebrew and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in Hebrew<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Portugal, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Lisbon,Lisbon,Portugal,No,,,1027 - 1446,EUR,Full-time,FULL_TIME,,Customer Service,Hebrew,Customer Support,1,
customer-support-with-german-in-poland,Customer Support with German in Poland,Customer Support with German,"Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.

What You’ll Do:
- Communicate with customers via phone, chat, and email
- Monitor and resolve cases efficiently to ensure quick resolution
- Maintain customer satisfaction while representing a major brand
- Develop and sustain strong, professional relationships with partners, always showing empathy
- Work towards achieving targets set by both the client and the company

What You Need:
- Fluency in German
- Proficient English communication skills
- Strong communication, interpersonal, and problem-solving abilities
- Basic computer knowledge and technical skills
- Ability to multitask effectively
- Team-oriented with the ability to thrive in a fast-paced, energetic environment

What We Offer:
- Comprehensive relocation support to Poland, including flight, hotel stay, and assistance with finding housing—all at no cost to you
- Competitive monthly salary plus two additional salaries per year
- Health benefits and various other discounts
- Full training provided by certified instructors
- Opportunities for career advancement and professional development","Are you fluent in German and have strong communication skills? We have exciting job opportunities in Customer Support! Take the next step in your career by working with some of the top global brands.<br><br>What You’ll Do:<br>- Communicate with customers via phone, chat, and email<br>- Monitor and resolve cases efficiently to ensure quick resolution<br>- Maintain customer satisfaction while representing a major brand<br>- Develop and sustain strong, professional relationships with partners, always showing empathy<br>- Work towards achieving targets set by both the client and the company<br><br>What You Need:<br>- Fluency in German<br>- Proficient English communication skills<br>- Strong communication, interpersonal, and problem-solving abilities<br>- Basic computer knowledge and technical skills<br>- Ability to multitask effectively<br>- Team-oriented with the ability to thrive in a fast-paced, energetic environment<br><br>What We Offer:<br>- Comprehensive relocation support to Poland, including flight, hotel stay, and assistance with finding housing—all at no cost to you<br>- Competitive monthly salary plus two additional salaries per year<br>- Health benefits and various other discounts<br>- Full training provided by certified instructors<br>- Opportunities for career advancement and professional development",2024-09-16,2024-09-23,Kraków,Kraków,Poland,No,,,5000 - 7000,PLN,Full-time,FULL_TIME,,Customer Service,German,Customer Support,1,
